speakername,party 
ครรชิต ทับสุวรรณ,พรรคประชาธิปัตย์
บุญชู นิลถนอม,พรรคเพื่อไทย
นิติรัฐ สุนทรวร,พรรคประชาธิปัตย์
กัลยา รุ่งวิจิตรชัย,พรรคประชาธิปัตย์
อรรถพล วงษ์ประยูร,พรรคเพื่อไทย
วัชรพงศ์ คูวิจิตรสุวรรณ,พรรคภูมิใจไทย
องอาจ วงษ์ประยูร,พรรคเพื่อไทย
สุรสาล ผาสุข,พรรคเพื่อไทย
วิรัตน์ วิริยะพงษ์,พรรคประชาธิปัตย์
สัมพันธ์ ตั้งเบญจผล,พรรคประชาธิปัตย์
จักรวาล ชัยวิรัตน์นุกุล,พรรคภูมิใจไทย
มนู พุกประเสริฐ,พรรคภูมิใจไทย
สรชัด สุจิตต์,พรรคชาติไทยพัฒนา
ชาญชัย ประเสริฐสุวรรณ,พรรคชาติไทยพัฒนา
นพดล มาตรศรี,พรรคชาติไทยพัฒนา
พัชรี โพธสุธน,พรรคชาติไทยพัฒนา
สหรัฐ กุลศรี,พรรคเพื่อไทย
ภราดร ปริศนานันทกุล,พรรคชาติไทยพัฒนา
กรวีร์ ปริศนานันทกุล,พรรคชาติไทยพัฒนา
กุลเดช พัวพัฒนกุล,พรรคประชาธิปัตย์
ชาดา ไทยเศรษฐ์,พรรคชาติไทยพัฒนา
สามารถ แก้วมีชัย,พรรคเพื่อไทย
สุรสิทธิ์ เจียมวิจักษณ์,พรรคเพื่อไทย
วิสาระดี เตชะธีราวัฒน์,พรรคเพื่อไทย
รังสรรค์ วันไชยธนวงศ์,พรรคเพื่อไทย
พิเชษฐ์ เชื้อเมืองพาน,พรรคเพื่อไทย
อิทธิเดช แก้วหลวง,พรรคเพื่อไทย
ละออง ติยะไพรัช,พรรคเพื่อไทย
ทัศนีย์ บูรณุปกรณ์,พรรคเพื่อไทย
กฤษดาภรณ์ เสียมภักดี,พรรคเพื่อไทย
ชินณิชา วงศ์สวัสดิ์,พรรคเพื่อไทย
เกษม นิมมลรัตน์,พรรคเพื่อไทย
เยาวภา วงศ์สวัสดิ์,พรรคเพื่อไทย
วิทยา ทรงคำ,พรรคเพื่อไทย
ประสิทธิ์ วุฒินันชัย,พรรคเพื่อไทย
จุลพันธ์ อมรวิวัฒน์,พรรคเพื่อไทย
บุญทรง เตริยาภิรมย์,พรรคเพื่อไทย
นพคุณ รัฐผไท,พรรคเพื่อไทย
สุรพล เกียรติไชยากร,พรรคเพื่อไทย
ศรีเรศ โกฎคำลือ,พรรคเพื่อไทย
สิรินทร รามสูต,พรรคเพื่อไทย
นายแพทย์ชลน่าน ศรีแก้ว,พรรคเพื่อไทย
ณัฐพงษ์ สุปริยศิลป์,พรรคเพื่อไทย
อรุณี ชำนาญยา,พรรคเพื่อไทย
วิสุทธิ์ ไชยณรุณ,พรรคเพื่อไทย
ไพโรจน์ ตันบรรจง,พรรคเพื่อไทย
ปานหทัย เสรีรักษ์,พรรคเพื่อไทย
นิยม วิวรรธนดิฐกุล,พรรคเพื่อไทย
วรวัจน์ เอื้ออภิญญกุล,พรรคเพื่อไทย
สมบัติ ยะสินธุ์,พรรคประชาธิปัตย์
สมโภช สายเทพ,พรรคเพื่อไทย
วาสิต พยัคฆบุตร,พรรคเพื่อไทย
จรัสฤทธิ์ จันทรสุรินทร์,พรรคเพื่อไทย
อิทธิรัตน์ จันทรสุรินทร์,พรรคเพื่อไทย
สงวน พงษ์มณี,พรรคเพื่อไทย
สถาพร มณีรัตน์,พรรคเพื่อไทย
รังสรรค์ มณีรัตน์,พรรคเพื่อไทย
กนก ลิ้มตระกูล,พรรคเพื่อไทย
ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อไทย
ทนุศักดิ์ เล็กอุทัย,พรรคเพื่อไทย
บุญรื่น ศรีธเรศ,พรรคเพื่อไทย
วีระวัฒน์ โอสถานุเคราะห์,พรรคเพื่อไทย
คมเดช ไชยศิวามงคล,พรรคเพื่อไทย
พีระเพชร ศิริกุล,พรรคเพื่อไทย
นิพนธ์ ศรีธเรศ,พรรคเพื่อไทย
ประเสริฐ บุญเรือง,พรรคเพื่อไทย
จักริน พัฒน์ดำรงจิตร,พรรคเพื่อไทย
ภูมิ สาระผล,พรรคเพื่อไทย
จตุพร เจริญเชื้อ,พรรคเพื่อไทย
มุกดา พงษ์สมบัติ,พรรคเพื่อไทย
สุชาย ศรีสุรพล,พรรคเพื่อไทย
