speakername,party
ญาณธิชา บัวเผื่อน,พรรคก้าวไกล
จิรัฏฐ์ ทองสุวรรณ์,พรรคก้าวไกล
ขวัญเลิศ พานิชมาท,พรรคก้าวไกล
จรัส คุ้มไข่น้ำ,พรรคก้าวไกล
ศักดินัย นุ่มหนู,พรรคก้าวไกล
ปรีดา บุญเพลิง,พรรคครูไทยเพื่อประชาชน 
วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา
ธีระ วงศ์สมุทร,พรรคชาติไทยพัฒนา
นิกร จำนง,พรรคชาติไทยพัฒนา
นพดล มาตรศรี,พรรคชาติไทยพัฒนา
พาณุวัฒณ์ สะสมทรัพย์,พรรคชาติไทยพัฒนา
เผดิมชัย สะสมทรัพย์,พรรคชาติไทยพัฒนา
สรชัด สุจิตต์,พรรคชาติไทยพัฒนา
ณัฐวุฒิ ประเสริฐสุวรรณ,พรรคชาติไทยพัฒนา
ประภัตร โพธสุธน,พรรคชาติไทยพัฒนา
เสมอกัน เที่ยงธรรม,พรรคชาติไทยพัฒนา
อนุรักษ์ จุรีมาศ,พรรคชาติไทยพัฒนา
สมัคร ป้องวงษ์,พรรคชาติพัฒนากล้า
วัชรพล โตมรศักดิ์,พรรคชาติพัฒนากล้า
เทวัญ ลิปตพัลลภ,พรรคชาติพัฒนากล้า 
ดล เหตระกูล,พรรคชาติพัฒนากล้า 
วันมูหะมัดนอร์ มะทา,พรรคประชาชาติ
พันตำรวจเอกทวี สอดส่อง,พรรคประชาชาติ
กูเฮง ยาวอหะซัน,พรรคประชาชาติ
กมลศักดิ์ ลีวาเมาะ,พรรคประชาชาติ
อนุมัติ ซูสารอ,พรรคประชาชาติ
สมมุติ เบ็ญจลักษณ์,พรรคประชาชาติ
ซูการ์โน มะทา,พรรคประชาชาติ
อับดุลอายี สาแม็ง,พรรคประชาชาติ
สุรทิน พิจารณ์,พรรคประชาธิปไตยใหม่
แพงศรี พิจารณ์,พรรคประชาธิปไตยใหม่
ปฏิวัติ พิจารณ์,พรรคประชาธิปไตยใหม่
อภิสิทธิ์ เวชชาชีวะ,พรรคประชาธิปัตย์
บัญญัติ บรรทัดฐาน,พรรคประชาธิปัตย์
เทอดพงษ์ ไชยนันทน์,พรรคประชาธิปัตย์
คุณหญิงกัลยา โสภณพนิช,พรรคประชาธิปัตย์
จุรินทร์ ลักษณวิศิษฏ์,พรรคประชาธิปัตย์
กรณ์ จาติกวณิช,พรรคประชาธิปัตย์
จุติ ไกรฤกษ์,พรรคประชาธิปัตย์
องอาจ คล้ามไพบูลย์,พรรคประชาธิปัตย์
ศิริวรรณ ปราศจากศัตรู,พรรคประชาธิปัตย์
อิสสระ สมชัย,พรรคประชาธิปัตย์
อัศวิน วิภูศิริ,พรรคประชาธิปัตย์
เกียรติ สิทธีอมร,พรรคประชาธิปัตย์
กนก วงษ์ตระหง่าน,พรรคประชาธิปัตย์
ศรีสมร รัศมีฤกษ์เศรษฐ์,พรรคประชาธิปัตย์
พีระพันธุ์ สาลีรัฐวิภาค,พรรคประชาธิปัตย์
พนิต วิกิตเศรษฐ์,พรรคประชาธิปัตย์
อภิชัย เตชะอุบล,พรรคประชาธิปัตย์
วีระชัย วีระเมธีกุล,พรรคประชาธิปัตย์
จิตภัสร์ กฤดากร,พรรคประชาธิปัตย์
สุทัศน์ เงินหมื่น,พรรคประชาธิปัตย์
พิสิฐ ลี้อาธรรม,พรรคประชาธิปัตย์
อิสระ เสรีวัฒนวุฒิ,พรรคประชาธิปัตย์
พิมพ์รพี พันธุ์วิชาติกุล,พรรคประชาธิปัตย์
จักพันธ์ ปิยพรไพบูลย์,พรรคประชาธิปัตย์
นราพัฒน์ แก้วทอง,พรรคประชาธิปัตย์
ไชยยศ จิรเมธากร,พรรคประชาธิปัตย์
เจือ ราชสีห์,พรรคประชาธิปัตย์
มัลลิกา บุญมีตระกูล มหาสุข,พรรคประชาธิปัตย์
นาวาตรี สุธรรม ระหงษ์,พรรคประชาธิปัตย์
ชำนิ ศักดิเศรษฐ์,พรรคประชาธิปัตย์
สุรบถ หลีกภัย,พรรคประชาธิปัตย์
ยุพ นานา,พรรคประชาธิปัตย์
ราเมศ รัตนะเชวง,พรรคประชาธิปัตย์
พันโท สินธพ แก้วพิจิตร,พรรคประชาธิปัตย์
รังสิมา รอดรัศมี,พรรคประชาธิปัตย์
วุฒิพงษ์ นามบุตร,พรรคประชาธิปัตย์
บุณย์ธิดา สมชัย,พรรคประชาธิปัตย์
สาคร เกี่ยวข้อง,พรรคประชาธิปัตย์
ชุมพล จุลใส,พรรคประชาธิปัตย์
อิสรพงษ์ มากอำไพ,พรรคประชาธิปัตย์
สราวุธ อ่อนละมัย,พรรคประชาธิปัตย์
สาทิตย์ วงศ์หนองเตย,พรรคประชาธิปัตย์
สุณัฐชา โล่สถาพรพิพิธ,พรรคประชาธิปัตย์
เทพไท เสนพงศ์,พรรคประชาธิปัตย์
ประกอบ รัตนพันธ์,พรรคประชาธิปัตย์
ชินวรณ์ บุณยเกียรติ,พรรคประชาธิปัตย์
ชัยชนะ เดชเดโช,พรรคประชาธิปัตย์
พิมพ์ภัทรา วิชัยกุล,พรรคประชาธิปัตย์
อันวาร์ สาและ,พรรคประชาธิปัตย์
กันตวรรณ ตันเถียร กุลจรรยาวิวัฒน์,พรรคประชาธิปัตย์
นริศ ขำนุรักษ์,พรรคประชาธิปัตย์
เดชอิศม์ ขาวทอง,พรรคประชาธิปัตย์
ถาวร เสนเนียม,พรรคประชาธิปัตย์
สุภาพร กำเนิดผล,พรรคประชาธิปัตย์
พลตำรวจตรี สุรินทร์ ปาลาเร่,พรรคประชาธิปัตย์
ภานุ ศรีบุศยกาญจน์,พรรคประชาธิปัตย์
วิวรรธน์ นิลวัชรมณี,พรรคประชาธิปัตย์
วชิราภรณ์ กาญจนะ,พรรคประชาธิปัตย์
สมชาติ ประดิษฐพร,พรรคประชาธิปัตย์
สินิตย์ เลิศไกร,พรรคประชาธิปัตย์
ธีรภัทร พริ้งศุลกะ,พรรคประชาธิปัตย์
สาธิต ปิตุเตชะ,พรรคประชาธิปัตย์
บัญญัติ เจตนจันทร์,พรรคประชาธิปัตย์
ธารา ปิตุเตชะ,พรรคประชาธิปัตย์
ชัยวุฒิ บรรณวัฒน์,พรรคประชาธิปัตย์
มนตรี ปาน้อยนนท์,พรรคประชาธิปัตย์
ประมวล พงศ์ถาวราเดช,พรรคประชาธิปัตย์
ชัยทิพย์ กมลพันธ์ทิพย์,พรรคประชาธิปัตย์
อัครเดช วงษ์พิทักษ์โรจน์,พรรคประชาธิปัตย์
สมเกียรติ ศรลัมพ์,พรรคประชาภิวัฒน์
นันทนา สงฆ์ประชา,พรรคประชาภิวัฒน์
รองรักษ์ บุญศิริ,พรรคประชาภิวัฒน์
ชัชวาลล์ คงอุดม,พรรคพลังท้องถิ่นไท
โกวิทย์ พวงงาม,พรรคพลังท้องถิ่นไท
นพดล แก้วสุพัฒน์,พรรคพลังท้องถิ่นไท
