speaker name ,party
พันตำรวจโทอดุลย์ บุญเสรฐ,พรรคไทยรักไทย
นายแพทย์วรงค์ เดชกิจวิกรม,พรรคประชาธิปัตย์
มนต์ชัย วิวัฒน์ธนาฒย์,พรรคไทยรักไทย
มยุรา มนะสิการ,พรรคไทยรักไทย
นิยม ช่างพินิจ,พรรคไทยรักไทย
นคร มาฉิม,พรรคประชาธิปัตย์
หัสนัยน์ สอนสิทธิ์,พรรคไทยรักไทย
เรวัต แสงวิจิตร,พรรคไทยรักไทย
สุรศักดิ์ อนรรฆพันธ์,พรรคไทยรักไทย
ทวีศักดิ์ อนรรฆพันธ์,พรรคไทยรักไทย
ณรงค์กร ชวาลสันตติ,พรรคไทยรักไทย
พันจ่าอากาศโทกิตติคุณ นาคะบุตร,พรรคไทยรักไทย
เอี่ยม ทองใจสด,พรรคไทยรักไทย
ไพศาล จันทรภักดี,พรรคไทยรักไทย
ณัฐพล เกียรติวินัยสกุล,พรรคไทยรักไทย
พงษ์ศักดิ์ วรปัญญา,พรรคไทยรักไทย
สุชาติ ลายน้ำเงิน,พรรคไทยรักไทย
อำนวย คลังผา,พรรคไทยรักไทย
นิยม วรปัญญา,พรรคไทยรักไทย
สงคราม กิจเลิศไพโรจน์,พรรคไทยรักไทย
ประเสริฐ เด่นนภาลัย,พรรคไทยรักไทย
ว่าที่เรือโทวัลลภ ยังตรง,พรรคไทยรักไทย
จิรพันธ์ ลิ้มสกุลศิริรัตน์,พรรคไทยรักไทย
สลิลทิพย์ ชัยสดมภ์,พรรคไทยรักไทย
เรวดี รัศมิทัศ,พรรคไทยรักไทย
ประชา ประสพดี,พรรคไทยรักไทย
รังสิมา รอดรัศมี,พรรคประชาธิปัตย์
อนุสรณ์ ไกรวัตนุสสรณ์,พรรคไทยรักไทย
ศุภพรพงศ์ ชวนบุญ,พรรคไทยรักไทย
อุดม ไกรวัตนุสสรณ์,พรรคไทยรักไทย
ร้อยตรีปรพล อดิเรกสาร,พรรคไทยรักไทย
พศ อดิเรกสาร,พรรคไทยรักไทย
ฉัตรชัย ศิลาพร,พรรคไทยรักไทย
วีระพล อดิเรกสาร,พรรคไทยรักไทย
พายัพ ปั้นเกตุ,พรรคไทยรักไทย
อนงค์วรรณ เทพสุทิน,พรรคไทยรักไทย
ประศาสตร์ ทองปากน้ำ,พรรคไทยรักไทย
สมเจตน์ ลิมปะพันธุ์,พรรคไทยรักไทย
ประทวน เขียวฤทธิ์,พรรคไทยรักไทย
วราวุธ ศิลปอาชา,พรรคชาติไทย
กัญจนา ศิลปอาชา,พรรคชาติไทย
ณัฐวุฒิ ประเสริฐสุวรรณ,พรรคชาติไทย
บรรหาร ศิลปอาชา,พรรคชาติไทย
ยุทธนา โพธสุธน,พรรคชาติไทย
เสมอกัน เที่ยงธรรม,พรรคชาติไทย
เพ็ญชิสา หงษ์อุปถัมภ์ชัย,พรรคไทยรักไทย
สมศักดิ์ ปริศนานันทกุล,พรรคชาติไทย
ธีรพันธ์ วีระยุทธวัฒนะ,พรรคชาติไทย
นพดล พลเสน,พรรคชาติไทย
ประแสง มงคลศิริ,พรรคไทยรักไทย
สามารถ แก้วมีชัย,พรรคไทยรักไทย
สฤษฏ์ อึ้งอภินันท์,พรรคไทยรักไทย
สุรสิทธิ์ เจียมวิจักษณ์,พรรคไทยรักไทย
วิสาร เตชะธีราวัฒน์,พรรคไทยรักไทย
สมบูรณ์ วันไชยธนวงศ์,พรรคไทยรักไทย
ละออง ติยะไพรัช,พรรคไทยรักไทย
อิทธิเดช แก้วหลวง,พรรคไทยรักไทย
บัวสอน ประชามอญ,พรรคไทยรักไทย
ปกรณ์ บูรณุปกรณ์,พรรคไทยรักไทย
พายัพ ชินวัตร,พรรคไทยรักไทย
บุญทรง เตริยาภิรมย์,พรรคไทยรักไทย
วิทยา ทรงคำ,พรรคไทยรักไทย
พรชัย อรรถปรียางกูร,พรรคไทยรักไทย
นพคุณ รัฐผไท,พรรคไทยรักไทย
สุรพล เกียรติไชยากร,พรรคไทยรักไทย
ผณินทรา ภัคเกษม,พรรคไทยรักไทย
จุลพันธ์ อมรวิวัฒน์,พรรคไทยรักไทย
สันติ ตันสุหัช,พรรคไทยรักไทย
สิรินทร รามสูต,พรรคไทยรักไทย
นายแพทย์ชลน่าน ศรีแก้ว,พรรคไทยรักไทย
วัลลภ สุปริยศิลป์,พรรคไทยรักไทย
อรุณี ชำนาญยา,พรรคไทยรักไทย
วิสุทธิ์ ไชยณรุณ,พรรคไทยรักไทย
ไพโรจน์ ตันบรรจง,พรรคไทยรักไทย
นายแพทย์ทศพร เสรีรักษ์,พรรคไทยรักไทย
อนุวัธ วงศ์วรรณ,พรรคไทยรักไทย
วรวัจน์ เอื้ออภิญญกุล,พรรคไทยรักไทย
ปัญญา จีนาคำ,พรรคไทยรักไทย
สมบูรณ์ ไพรวัลย์,พรรคไทยรักไทย
ไพโรจน์ โล่ห์สุนทร,พรรคไทยรักไทย
กิตติกร โล่ห์สุนทร,พรรคไทยรักไทย
วาสิต พยัคฆบุตร,พรรคไทยรักไทย
พินิจ จันทรสุรินทร์,พรรคไทยรักไทย
อิทธิรัตน์ จันทรสุรินทร์,พรรคไทยรักไทย
อาภาภรณ์ พุทธปวน,พรรคไทยรักไทย
สงวน พงษ์มณี,พรรคไทยรักไทย
สถาพร มณีรัตน์,พรรคไทยรักไทย
กฤษณา สีหลักษณ์,พรรคไทยรักไทย
ศรัณย์ ศรัณย์เกตุ,พรรคไทยรักไทย
ทนุศักดิ์ เล็กอุทัย,พรรคไทยรักไทย
บุญรื่น ศรีธเรศ,พรรคไทยรักไทย
อรดี สุทธศรี,พรรคไทยรักไทย
วิทยา ภูมิเหล่าแจ้ง,พรรคไทยรักไทย
พีระเพชร ศิริกุล,พรรคไทยรักไทย
ภัทรา วรามิตร,พรรคไทยรักไทย
ประเสริฐ บุญเรือง,พรรคไทยรักไทย
จักริน พัฒน์ดำรงจิตร,พรรคไทยรักไทย
ประจักษ์ แกล้วกล้าหาญ,พรรคไทยรักไทย
จตุพร เจริญเชื้อ,พรรคไทยรักไทย
มุกดา พงษ์สมบัติ,พรรคไทยรักไทย
ภูมิ สาระผล,พรรคไทยรักไทย
สมศักดิ์ เกียรติสุรนนท์,พรรคไทยรักไทย
สุชาย ศรีสุรพล,พรรคไทยรักไทย
สมศักดิ์ คุณเงิน,พรรคไทยรักไทย
อรรถสิทธิ์ กาญจนสินิทธ์,พรรคไทยรักไทย
พงศกร อรรณนพพร,พรรคไทยรักไทย
เรืองเดช สุพรรณฝ่าย,พรรคไทยรักไทย
ประสิทธิ์ ชัยวิรัตนะ,พรรคไทยรักไทย
ชวลิต มหาจันทร์,พรรคไทยรักไทย
ก่ำชุง ประภากรแก้วรัตน์,พรรคไทยรักไทย
วุฒิชัย สงวนวงศ์ชัย,พรรคไทยรักไทย
ศรคม ฦาชา,พรรคไทยรักไทย
เจริญ จรรย์โกมล,พรรคไทยรักไทย
นายแพทย์สุรวิทย์ คนสมบูรณ์,พรรคไทยรักไทย
ชวลิต วิชยสุทธิ์,พรรคไทยรักไทย
ไพจิต ศรีวรขาน,พรรคไทยรักไทย
นายแพทย์ประสงค์ บูรณ์พงศ์,พรรคไทยรักไทย
อรรถสิทธิ์ (คันคาย) ทรัพยสิทธิ์,พรรคไทยรักไทย
ศุภชัย โพธิ์สุ,พรรคไทยรักไทย
เทวัญ ลิปตพัลลภ,พรรคไทยรักไทย
นายแพทย์วรรณรัตน์ ชาญนุกูล,พรรคไทยรักไทย
ประเสริฐ บุญชัยสุข,พรรคไทยรักไทย
อุทัย มิ่งขวัญ,พรรคไทยรักไทย
ทัศนียา รัตนเศรษฐ,พรรคมหาชน
วัชรา ณ วังขนาย,พรรคไทยรักไทย
พงษ์พิช รุ่งเป้า,พรรคไทยรักไทย
ประชาธิปไตย คำสิงห์นอก,พรรคไทยรักไทย
สมศักดิ์ โสมกลาง,พรรคไทยรักไทย
ว่าที่ร้อยตรีไพโรจน์ สุวรรณฉวี,พรรคไทยรักไทย
บุญจง วงศ์ไตรรัตน์,พรรคไทยรักไทย
สุพร อัตถาวงศ์,พรรคไทยรักไทย
สมศักดิ์ พันธ์เกษม,พรรคไทยรักไทย
พันตำรวจโทสมชาย เพศประเสริฐ,พรรคไทยรักไทย
ประเสริฐ จันทรรวงทอง,พรรคไทยรักไทย
วิสิทธิ์ พิทยาภรณ์,พรรคไทยรักไทย
ประสิทธิ์ ตั้งศรีเกียรติกุล,พรรคไทยรักไทย
กรุณา ชิดชอบ,พรรคไทยรักไทย
ศักดิ์สยาม ชิดชอบ,พรรคไทยรักไทย
สุรศักดิ์ นาคดี,พรรคไทยรักไทย
พีระพงษ์ เฮงสวัสดิ์,พรรคไทยรักไทย
โสภณ ซารัมย์,พรรคไทยรักไทย
ประกิจ พลเดช,พรรคไทยรักไทย
โสภณ เพชรสว่าง,พรรคไทยรักไทย
ขจรธน จุดโต,พรรคไทยรักไทย
ทรงศักดิ์ ทองศรี,พรรคไทยรักไทย
ทองหล่อ พลโคตร,พรรคไทยรักไทย
สุชาติ ศรีสังข์,พรรคไทยรักไทย
สุชาติ โชคชัยวัฒนากร,พรรคไทยรักไทย
ชาญชัย ชัยรุ่งเรือง,พรรคไทยรักไทย
กุสุมาลวตี ศิริโกมุท,พรรคไทยรักไทย
กริช กงเพชร,พรรคไทยรักไทย
ประมวลศิลป์ โภคสวัสดิ์,พรรคไทยรักไทย
วิทยา บุตรดีวงค์,พรรคชาติไทย
สุทธิชัย จันทร์อารักษ์,พรรคไทยรักไทย
รณฤทธิชัย คานเขต,พรรคไทยรักไทย
วิฑูรย์ วงษ์ไกร,พรรคไทยรักไทย
วิสันต์ เดชเสน,พรรคไทยรักไทย
อนุรักษ์ จุรีมาศ,พรรคชาติไทย
ฉลาด ขามช่วง,พรรคไทยรักไทย
เอกภาพ พลซื่อ,พรรคไทยรักไทย
นิรันดร์ นาเมืองรักษ์,พรรคไทยรักไทย
นิสิต สินธุไพร,พรรคไทยรักไทย
กิตติ สมทรัพย์,พรรคไทยรักไทย
ศักดา คงเพชร,พรรคไทยรักไทย
มังกร ยนต์ตระกูล,พรรคชาติไทย
ทศพล สังขทรัพย์,พรรคไทยรักไทย
