"names","parties"
"นายฐิติกันต์  ฐิติพฤฒิกุล","พรรคก้าวไกล"
"นางฐิติมา  ฉายแสง","พรรคเพื่อไทย"
"นายณกร  ชารีพันธ์","พรรคก้าวไกล"
"นายสุเทพ  อู่อ้น","พรรคก้าวไกล"
"นายณพล  เชยคำแหง","พรรคเพื่อไทย"
"นายณรงเดช  อุฬารกุล","พรรคก้าวไกล"
"นายณัฏฐ์ชนน  ศรีก่อเกื้อ","พรรคภูมิใจไทย"
"นางสาวณัฐจิรา  อิ่มวิเศษ","พรรคเพื่อไทย"
"นายณัฐชา  บุญไชยอินสวัสดิ์","พรรคก้าวไกล"
"นายณัฐพงศ์  เปรมพูลสวัสดิ์","พรรคก้าวไกล"
"นายณัฐพงษ์  พิพัฒน์ไชยศิริ","พรรคก้าวไกล"
"นายณัฐพงษ์  เรืองปัญญาวุฒิ","พรรคก้าวไกล"
"นายณัฐพงษ์  สุปริยศิลป์","พรรคเพื่อไทย"
"นายณัฐพงษ์  สุมโนธรรม","พรรคก้าวไกล"
"นายณัฐพล  โตวิจักษณ์ชัยกุล","พรรคก้าวไกล"
"นายณัฐวุฒิ  บัวประทุม","พรรคก้าวไกล"
"นายณัฐวุฒิ  ประเสริฐสุวรรณ","พรรคชาติไทยพัฒนา"
"นายดนุพร  ปุณณกันต์","พรรคเพื่อไทย"
"รองศาสตราจารย์พิเศษดวงฤทธิ์ เบ็ญจาธิกุล  ชัยรุ่งเรือง","พรรครวมไทยสร้างชาติ"
"นายเดชอิศม์  ขาวทอง","พรรคประชาธิปัตย์"
"นายตรัยวรรธน์  อิ่มใจ","พรรคก้าวไกล"
"นางสาวตรีนุช  เทียนทอง","พรรคพลังประชารัฐ"
"นางสาวตวงทิพย์  จินตะเวช","พรรคภูมิใจไทย"
"นายไตรเทพ  งามกมล","พรรคภูมิใจไทย"
"นายถนอมพงศ์  หลีกภัย","พรรครวมไทยสร้างชาติ"
"นายถิรเดช  ตั้งมั่นก่อกิจ","พรรคภูมิใจไทย"
"นายทรงยศ  รามสูต","พรรคเพื่อไทย"
"นายชลัฐ  รัชกิจประการ","พรรคภูมิใจไทย"
"นายทรงศักดิ์  มุสิกอง","พรรคประชาธิปัตย์"
"นายทรงศักดิ์  ส่งเสริมอุดมชัย","พรรคเพื่อไทย"
"นายทวิวงศ์  โตทวิวงศ์","พรรคก้าวไกล"
"พันตำรวจเอก ทวี  สอดส่อง","พรรคประชาชาติ"
"นายทวี  สุระบาล","พรรคพลังประชารัฐ"
"นายทศพร  เสรีรักษ์","พรรคเพื่อไทย"
"นายทินพล  ศรีธเรศ","พรรคเพื่อไทย"
"นางทิพา  ปวีณาเสถียร","พรรคก้าวไกล"
"นางสาวทิสรัตน์  เลาหพล","พรรคก้าวไกล"
"นายเทอดชาติ  ชัยพงษ์","พรรคเพื่อไทย"
"นายเท่าพิภพ  ลิ้มจิตรกร","พรรคก้าวไกล"
"นางเทียบจุฑา  ขาวขำ","พรรคเพื่อไทย"
"นายธนกร  วังบุญคงชนะ","พรรครวมไทยสร้างชาติ"
